OBJECTID_1,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID,AREA_SQM,FEAT_LEN,Shape__Area,Shape__Length,OBJECTID_1 1,SHAPE_1 1,Shape__Area 1,Shape__Length 1,Year,Month,Near AveTemp,Near MaxTemp,Near MinTemp,NearDist Temp,Near totalPrecip,Near HighPrecipDays,NearDist Precip,Interpolate Temp aveMax,Interpolate Temp aveMin,Interpolate Precip aveMax,Interpolate Precip aveMin,Interpolate AveTemp,Interpolate AvePrecip
164,G90209,2017053101.00000000,2017,Lightning,2017-G90209,5.60000000,20170531,20170615,20170530,Non-corrected ground GPS,JA70003000,0.00000000,1373924.00000000,56554.07670000,1352.78830000,215236.92187500,2638.77119526,21163,0,215236.92190000,2638.77119500,2017,May,16.20000000,33.00000000,2.90000000,13.70580517,15.80000000,3,37.55631209,12.39348495,11.49686605,61.16866490,52.72124544,11.9451755,56.94495517
165,R40030,2017041901.00000000,2017,Person,2017-R40030,2.10000000,20170419,20170428,20170418,Non-corrected ground GPS,JA70003000,0.00000000,1373757.00000000,21032.55190000,1496.13240000,65520.81250000,2640.25116431,21466,0,65520.81250000,2640.25116400,2017,April,9.80000000,20.50000000,-1.60000000,25.37787707,18.20000000,4,25.37787707,6.14339035,4.38314936,33.41752529,20.32435988,5.26326985,26.870942585
166,G90380,2017070501.00000000,2017,Lightning,2017-G90380,2.80000000,20170626,20170705,20170625,Ozi,JA70003000,0.00000000,1373921.00000000,28045.87860000,1372.05680000,107440.00781250,2685.91072297,21149,0,107440.00780000,2685.91072300,2017,June,14.50000000,29.60000000,2.70000000,64.90862835,143.10000000,17,64.90862835,13.95505014,12.51759481,106.08179630,70.79480453,13.23632247,88.438300415
167,C20894,2017081501.00000000,2017,Lightning,2017-C20894,14.00000000,20170815,20170816,20170707,Non-corrected ground GPS,JA70003000,0.00000000,1374027.00000000,140894.81010000,1645.98080000,376977.33593750,2692.61576616,21258,0,376977.33590000,2692.61576600,2017,July,17.10000000,31.10000000,3.40000000,19.24666776,0.00000000,0,19.24666776,16.24650489,14.96469454,6.62470948,3.42045875,15.60559971,5.022584115
168,G11656,2017082501.00000000,2017,Lightning,2017-G11656,4.90000000,20170825,20170825,20170810,Ozi,JA70003000,0.00000000,1373962.00000000,49058.99810000,1601.26040000,139364.92968750,2697.46281541,21026,0,139364.92970000,2697.46281500,2017,August,17.50000000,36.00000000,6.00000000,34.29357614,24.00000000,7,34.29357614,17.21170188,15.94796849,26.78787543,14.36677385,16.57983518,20.57732464
169,N51651,2017090801.00000000,2017,Person,2017-N51651,6.60000000,20170908,20170908,20170809,Unknown,JA70003000,0.00000000,1373794.00000000,66765.60390000,1781.35640000,155065.66406250,2714.14464364,21319,0,155065.66410000,2714.14464400,2017,August,22.60000000,37.00000000,8.50000000,14.52480264,3.80000000,1,14.52480264,22.64371677,21.37998338,7.54741653,3.80349464,22.01185007,5.675455585
170,K61761,2017081701.00000000,2017,Person,2017-K61761,6.30000000,20170817,20171011,20170816,Non-corrected ground GPS,JA70003000,0.00000000,1373856.00000000,63370.40880000,1746.19230000,154478.68750000,2726.63437365,21160,0,154478.68750000,2726.63437400,2017,August,20.70000000,38.00000000,6.00000000,21.31808844,2.00000000,1,21.31808844,22.64371677,21.37998338,3.80349464,1.74802951,22.01185007,2.775762075
171,K72071,2017090701.00000000,2017,Lightning,2017-K72071,10.50000000,20170907,20171016,20170813,Hand sketch of any type,JA70003000,0.00000000,1373850.00000000,105556.76250000,1761.76210000,266466.68750000,2799.32756953,21142,0,266466.68750000,2799.32757000,2017,August,24.20000000,38.90000000,10.20000000,52.16348031,10.50000000,2,59.21085048,20.38574896,19.60354119,14.36677385,7.54741653,19.99464507,10.95709519
172,V72296,2017103001.00000000,2017,Person,2017-V72296,7.20000000,20171030,20171206,20171020,Non-corrected airborne GPS,JA70003000,0.00000000,1373724.00000000,72864.49680000,1842.67240000,171635.17187500,2826.43043898,21572,0,171635.17190000,2826.43043900,2017,October,9.20000000,22.50000000,-1.00000000,21.22458669,267.00000000,12,21.22458669,9.77484337,9.21066211,162.85397260,114.75467800,9.49275274,138.8043253
173,K51614,2017080801.00000000,2017,Person,2017-K51614,14.30000000,20170808,20171010,20170807,Non-corrected ground GPS,JA70003000,0.00000000,1373868.00000000,143650.06540000,1864.11640000,333689.57812500,2841.34198570,21221,0,333689.57810000,2841.34198600,2017,August,23.10000000,36.90000000,8.40000000,1.74060420,0.60000000,0,1.74060420,24.25000000,22.64371677,1.74802951,0.61955060,23.44685838,1.183790055
174,K30958,2017100501.00000000,2017,Lightning,2017-K30958,14.40000000,20171005,20171005,20170708,Hand sketch of any type,JA70003000,0.00000000,1373885.00000000,144327.76050000,1775.37790000,373800.98437500,2856.70359937,21291,0,373800.98440000,2856.70359900,2017,July,19.90000000,38.00000000,4.00000000,35.55667804,21.00000000,5,35.55667804,19.55349511,18.60373169,23.64313695,12.57891354,19.0786134,18.111025245
175,K10828,2017071401.00000000,2017,Lightning,2017-K10828,5.70000000,20170714,20171018,20170707,Hand sketch of any type,JA70003000,0.00000000,1373909.00000000,57030.52590000,1815.97080000,146889.34375000,2914.14802161,21093,0,146889.34380000,2914.14802200,2017,July,19.90000000,38.00000000,4.00000000,41.78854905,21.00000000,5,41.78854905,20.83530546,19.55349511,23.64313695,12.57891354,20.19440028,18.111025245
176,G90201,2017053101.00000000,2017,Lightning,2017-G90201,5.60000000,20170531,20170613,20170530,Non-corrected ground GPS,JA70003000,0.00000000,1373928.00000000,56194.20150000,1507.80590000,214891.68750000,2948.80849628,21185,0,214891.68750000,2948.80849600,2017,May,12.90000000,29.00000000,-2.50000000,41.79627384,44.40000000,10,41.79627384,11.49686605,10.26234991,75.65968838,61.16866490,10.87960798,68.41417664
177,N51042,2017072701.00000000,2017,Person,2017-N51042,24.10000000,20170727,20170819,20170712,Non-corrected airborne GPS,JA70003000,0.00000000,1373801.00000000,241403.62270000,1988.57570000,586785.38281250,3099.56908691,21332,0,586785.38280000,3099.56908700,2017,July,21.70000000,37.60000000,7.00000000,28.04751286,0.20000000,0,28.04751286,20.83530546,19.55349511,6.62470948,3.42045875,20.19440028,5.022584115
178,R10659,2017070801.00000000,2017,Lightning,2017-R10659,6.80000000,20170708,20171019,20170707,Non-corrected ground GPS,JA70003000,0.00000000,1373762.00000000,68672.92440000,1834.60760000,197112.52343750,3109.39852735,21483,0,197112.52340000,3109.39852700,2017,July,12.00000000,22.00000000,4.50000000,17.97120949,0.00000000,0,17.97120949,13.23475030,10.90000000,12.57891354,6.62470948,12.06737515,9.60181151
179,N41779,2017081801.00000000,2017,Lightning,2017-N41779,21.30000000,20170818,20170819,20170818,Hand sketch of any type,JA70003000,0.00000000,1373812.00000000,213808.07590000,1921.70430000,560242.85937500,3110.16799266,21353,0,560242.85940000,3110.16799300,2017,August,18.70000000,34.00000000,4.00000000,43.61633319,16.00000000,5,43.61633319,18.20593630,17.21170188,26.78787543,14.36677385,17.70881909,20.57732464
180,N51080,2017071701.00000000,2017,Lightning,2017-N51080,5.40000000,20170717,20170929,20170710,Non-corrected ground GPS,JA70003000,0.00000000,1373799.00000000,54142.54720000,2009.39340000,129702.65625000,3111.26125178,21330,0,129702.65630000,3111.26125200,2017,July,20.10000000,35.00000000,5.00000000,24.36096126,11.20000000,2,24.36096126,22.56524970,20.83530546,12.57891354,6.62470948,21.70027758,9.60181151
181,V62293,2017110901.00000000,2017,Person,2017-V62293,24.50000000,20171109,20171212,20171023,Hand sketch of any type,JA70003000,0.00000000,1373732.00000000,245971.31830000,2087.37190000,562581.99218750,3159.58889770,21595,0,562581.99220000,3159.58889800,2017,October,10.00000000,21.00000000,0.00000000,11.80596098,582.10000000,16,11.80596098,10.21870949,9.77484337,353.41784130,237.51791710,9.99677643,295.4678792
182,K52075,2017101001.00000000,2017,Person,2017-K52075,14.10000000,20171010,20171010,20170907,Hand sketch of any type,JA70003000,0.00000000,1373862.00000000,141090.42250000,2086.83860000,329792.37500000,3190.35703641,21203,0,329792.37500000,3190.35703600,2017,September,17.20000000,32.00000000,2.00000000,19.64190622,3.60000000,2,19.64190622,16.66220579,15.76423256,7.86459525,0.00000000,16.21321917,3.932297625
183,K11801,2017082401.00000000,2017,Lightning,2017-K11801,17.10000000,20170824,20171018,20170819,Non-corrected ground GPS,JA70003000,0.00000000,1373904.00000000,171821.49930000,1999.15470000,442496.54687500,3207.95883282,21076,0,442496.54690000,3207.95883300,2017,August,18.60000000,36.50000000,4.50000000,13.81753890,14.20000000,2,13.81753890,19.60354119,18.98814407,14.36677385,7.54741653,19.29584263,10.95709519
184,C40329,2017061801.00000000,2017,Lightning,2017-C40329,27.40000000,20170618,20171016,20170616,Unknown,JA70003000,0.00000000,1373999.00000000,274027.47360000,1990.33360000,714062.27343750,3213.09644608,21167,0,714062.27340000,3213.09644600,2017,June,15.60000000,33.50000000,1.50000000,41.89603206,2.60000000,1,41.89603206,13.95505014,12.51759481,13.51910589,0.00000000,13.23632247,6.759552945
185,V70367,2017062501.00000000,2017,Person,2017-V70367,14.80000000,20170625,20170628,20170624,Non-corrected ground GPS,JA70003000,0.00000000,1373727.00000000,148937.91240000,2213.87530000,348492.77343750,3385.92189974,21575,0,348492.77340000,3385.92190000,2017,June,15.70000000,33.00000000,3.50000000,11.70700315,24.40000000,4,11.70700315,15.55498307,15.20020606,35.43425686,27.06639241,15.37759456,31.250324635
186,K21032,2017080501.00000000,2017,Lightning,2017-K21032,14.40000000,20170805,20170806,20170712,Digitized other,JA70003000,0.00000000,1373893.00000000,144267.33850000,2120.61120000,372833.06250000,3408.96514367,21036,0,372833.06250000,3408.96514400,2017,July,20.30000000,37.70000000,4.60000000,12.49374713,11.90000000,1,12.49374713,19.55349511,18.60373169,12.57891354,6.62470948,19.0786134,9.60181151
187,G92151,2017091601.00000000,2017,Person,2017-G92151,11.70000000,20170916,20171006,20170916,Hand sketch of any type,JA70003000,0.00000000,1373913.00000000,117177.74960000,1774.76260000,434463.33593750,3415.85003603,21113,0,434463.33590000,3415.85003600,2017,September,11.20000000,25.00000000,-2.00000000,42.36702348,3.00000000,1,42.36702348,12.32500818,10.40578932,20.69538357,12.83078832,11.36539875,16.763085945
188,G90208,2017060301.00000000,2017,Lightning,2017-G90208,13.60000000,20170603,20170614,20170530,Non-corrected airborne GPS,JA70003000,0.00000000,1373925.00000000,136904.78040000,1766.29380000,520662.03906250,3445.25670965,21182,0,520662.03910000,3445.25671000,2017,May,14.30000000,32.00000000,1.50000000,0.48578861,52.70000000,7,0.48578861,12.39348495,11.49686605,61.16866490,52.72124544,11.9451755,56.94495517
189,K70181,2017052901.00000000,2017,Person,2017-K70181,30.50000000,20170529,20170529,20170528,Hand sketch of any type,JA70003000,0.00000000,1373854.00000000,305287.96100000,2207.31690000,756704.85937500,3474.74374847,21158,0,756704.85940000,3474.74374800,2017,May,12.90000000,29.00000000,-2.50000000,45.26110041,44.40000000,10,45.26110041,16.30000000,15.06548385,24.85845083,0.00000000,15.68274192,12.429225415
190,N51862,2017082502.00000000,2017,Lightning,2017-N51862,37.60000000,20170825,20170828,20170823,Non-corrected airborne GPS,JA70003000,0.00000000,1373788.00000000,376162.41020000,2314.07230000,943384.32812500,3664.57563762,21313,0,943384.32810000,3664.57563800,2017,August,20.10000000,34.60000000,6.30000000,42.18795488,4.80000000,2,42.18795488,18.98814407,18.20593630,14.36677385,7.54741653,18.59704018,10.95709519
191,C20906,2017071001.00000000,2017,Lightning,2017-C20906,27.40000000,20170710,20170710,20170707,Non-corrected ground GPS,JA70003000,0.00000000,1374022.00000000,274048.14480000,2245.74570000,735041.07031250,3676.29064158,21234,0,735041.07030000,3676.29064200,2017,July,13.40000000,31.50000000,-3.00000000,24.97021813,2.40000000,1,24.97021813,16.24650489,14.96469454,12.57891354,6.62470948,15.60559971,9.60181151
192,G90207,2017092001.00000000,2017,Lightning,2017-G90207,7.20000000,20170920,20170920,20170530,Ozi,JA70003000,0.00000000,1373926.00000000,72964.26410000,1933.52630000,265909.85156250,3691.10731804,21183,0,265909.85160000,3691.10731800,2017,May,14.30000000,32.00000000,1.50000000,16.82294230,52.70000000,7,16.82294230,12.33325563,11.41393895,61.16866490,52.72124544,11.87359729,56.94495517
193,N71981,2017091301.00000000,2017,Lightning,2017-N71981,20.60000000,20170913,20170913,20170830,Non-corrected airborne GPS,JA70003000,0.00000000,1373769.00000000,206332.48500000,2411.02170000,487250.70312500,3705.42329170,21522,0,487250.70310000,3705.42329200,2017,August,20.30000000,34.00000000,4.00000000,37.21621583,0.00000000,0,37.21621583,21.37998338,20.38574896,7.54741653,3.80349464,20.88286617,5.675455585
194,V82310,2017111701.00000000,2017,Person,2017-V82310,43.70000000,20171117,20171227,20171027,Hand sketch of any type,JA70003000,0.00000000,1373720.00000000,437561.76890000,2486.95910000,1044806.75781250,3843.06373366,21557,0,1044806.75800000,3843.06373400,2017,October,9.80000000,15.30000000,5.10000000,31.77742160,228.60000000,15,31.77742160,9.77484337,9.21066211,162.85397260,114.75467800,9.49275274,138.8043253
195,K52196,2017092601.00000000,2017,Person,2017-K52196,32.80000000,20170926,20171012,20170926,Non-corrected ground GPS,JA70003000,0.00000000,1373861.00000000,328900.16990000,2539.15950000,769726.10156250,3880.78692296,21181,0,769726.10160000,3880.78692300,2017,September,17.20000000,32.00000000,2.00000000,10.00456745,3.60000000,2,10.00456745,16.66220579,15.76423256,7.86459525,0.00000000,16.21321917,3.932297625
196,G60610,2017070701.00000000,2017,Lightning,2017-G60610,8.60000000,20170707,20170728,20170627,Non-corrected ground GPS,JA70003000,0.00000000,1373944.00000000,86562.41300000,2222.96960000,269578.57031250,3922.38461206,21250,0,269578.57030000,3922.38461200,2017,June,13.60000000,29.10000000,-0.40000000,40.53474560,81.60000000,10,40.53474560,13.95505014,12.51759481,70.79480453,48.95336276,13.23632247,59.874083645
197,N50435,2017062701.00000000,2017,Lightning,2017-N50435,27.80000000,20170627,20170630,20170626,Non-corrected airborne GPS,JA70003000,0.00000000,1373804.00000000,278835.62320000,2554.77290000,671056.30468750,3961.07327445,21335,0,671056.30470000,3961.07327400,2017,June,16.40000000,32.00000000,5.00000000,16.71595198,49.20000000,9,16.71595198,17.70656452,16.26910919,48.95336276,35.43425686,16.98783685,42.19380981
198,N71445,2017090201.00000000,2017,Lightning,2017-N71445,40.80000000,20170902,20170902,20170710,Non-corrected airborne GPS,JA70003000,0.00000000,1373773.00000000,408997.52130000,2587.71040000,985647.25781250,4016.56612011,21561,0,985647.25780000,4016.56612000,2017,July,21.40000000,34.00000000,9.00000000,18.29929979,13.00000000,3,18.29929979,22.56524970,20.83530546,12.57891354,6.62470948,21.70027758,9.60181151
199,V62285,2017110101.00000000,2017,Person,2017-V62285,30.30000000,20171101,20171213,20171019,Hand sketch of any type,JA70003000,0.00000000,1373734.00000000,303988.55140000,2660.42710000,703458.82812500,4044.27833129,21597,0,703458.82810000,4044.27833100,2017,October,10.50000000,21.60000000,2.90000000,17.19279458,196.10000000,11,17.19279458,10.21449873,9.76949124,353.41784130,237.51791710,9.99199498,295.4678792
200,C51533,2017080401.00000000,2017,Lightning,2017-C51533,25.50000000,20170804,20170804,20170803,Non-corrected ground GPS,JA70003000,0.00000000,1373981.00000000,255413.63270000,2577.18790000,661278.38281250,4146.92902708,21114,0,661278.38280000,4146.92902700,2017,August,15.90000000,32.90000000,-1.20000000,50.84367652,2.30000000,1,50.84367652,17.21170188,15.94796849,7.54741653,3.80349464,16.57983518,5.675455585
201,V62297,2017110201.00000000,2017,Person,2017-V62297,18.70000000,20171102,20171207,20171020,Hand sketch of any type,JA70003000,0.00000000,1373731.00000000,187850.71400000,2756.51660000,425930.10937500,4150.11626523,21594,0,425930.10940000,4150.11626500,2017,October,9.70000000,20.00000000,0.50000000,27.64408773,107.20000000,16,27.64408773,10.78289075,10.21870949,162.85397260,114.75467800,10.50080012,138.8043253
202,V82324,2017112201.00000000,2017,Person,2017-V82324,42.50000000,20171122,20171227,20171024,Hand sketch of any type,JA70003000,0.00000000,1373719.00000000,425602.53210000,2670.20080000,1041353.89062500,4176.62226636,21556,0,1041353.89100000,4176.62226600,2017,October,11.00000000,17.10000000,6.50000000,4.92496786,124.40000000,11,4.92496786,9.77484337,9.21066211,353.41784130,237.51791710,9.49275274,295.4678792
203,K71366,2017072701.00000000,2017,Person,2017-K71366,34.00000000,20170727,20171006,20170726,Non-corrected ground GPS,JA70003000,0.00000000,1373851.00000000,340962.90480000,2691.13830000,835786.16406250,4213.92082624,21143,0,835786.16410000,4213.92082600,2017,July,23.80000000,37.80000000,11.30000000,17.76483642,0.00000000,0,17.76483642,24.90000000,22.56524970,1.69609347,0.76812751,23.73262485,1.23211049
204,C10919,2017071401.00000000,2017,Lightning,2017-C10919,4.20000000,20170714,20170714,20170707,Non-corrected airborne GPS,JA70003000,0.00000000,1374043.00000000,42356.44110000,2603.76610000,115628.44531250,4301.98718231,21122,0,115628.44530000,4301.98718200,2017,July,14.40000000,30.00000000,2.00000000,52.09371073,27.00000000,3,52.09371073,16.24650489,14.96469454,23.64313695,12.57891354,15.60559971,18.111025245
205,G10879,2017071901.00000000,2017,Person,2017-G10879,11.80000000,20170719,20170728,20170708,Non-corrected ground GPS,JA70003000,0.00000000,1373968.00000000,118644.56380000,2538.70800000,356394.90625000,4399.49744783,21059,0,356394.90630000,4399.49744800,2017,July,15.20000000,29.80000000,2.90000000,55.95789418,48.80000000,6,55.95789418,16.24650489,14.96469454,44.20290253,23.64313695,15.60559971,33.92301974
206,K52207,2017090301.00000000,2017,Person,2017-K52207,34.20000000,20170903,20171010,20170927,Hand sketch of any type,JA70003000,0.00000000,1373860.00000000,342941.49700000,2901.60510000,801662.25000000,4431.45345082,21180,0,801662.25000000,4431.45345100,2017,September,17.20000000,32.00000000,2.00000000,17.52546728,3.60000000,2,17.52546728,16.66220579,15.76423256,7.86459525,0.00000000,16.21321917,3.932297625
207,G10687,2017082301.00000000,2017,Lightning,2017-G10687,25.50000000,20170823,20170914,20170707,Non-corrected airborne GPS,JA70003000,0.00000000,1373975.00000000,255897.01580000,2719.16900000,719198.75000000,4558.35124097,21082,0,719198.75000000,4558.35124100,2017,July,16.40000000,30.00000000,2.00000000,28.57103547,26.80000000,7,28.57103547,16.24650489,14.96469454,44.20290253,23.64313695,15.60559971,33.92301974
208,K52047,2017092801.00000000,2017,Person,2017-K52047,36.50000000,20170928,20171010,20170903,Non-corrected ground GPS,JA70003000,0.00000000,1373863.00000000,365482.52630000,2953.10160000,871557.46875000,4561.39934305,21204,0,871557.46880000,4561.39934300,2017,September,16.90000000,35.50000000,2.10000000,28.33341294,9.40000000,4,28.33341294,16.66220579,15.76423256,12.83078832,7.86459525,16.21321917,10.347691785
209,G10094,2017050801.00000000,2017,Person,2017-G10094,23.30000000,20170508,20170524,20170507,Non-corrected ground GPS,JA70003000,0.00000000,1373980.00000000,233855.89220000,2752.00200000,655079.55468750,4607.20536719,21099,0,655079.55470000,4607.20536700,2017,May,11.50000000,27.00000000,-3.10000000,36.89851519,27.10000000,5,36.89851519,10.26234991,8.56259750,47.79689377,39.34947430,9.4124737,43.573184035
210,V62291,2017110201.00000000,2017,Person,2017-V62291,55.30000000,20171102,20171207,20171020,Hand sketch of any type,JA70003000,0.00000000,1373733.00000000,553163.20580000,3074.52110000,1255881.21875000,4632.82857611,21596,0,1255881.21900000,4632.82857600,2017,October,8.30000000,20.40000000,-2.20000000,14.49134508,116.60000000,12,14.49134508,10.78289075,10.21870949,162.85397260,114.75467800,10.50080012,138.8043253
211,C20352,2017062401.00000000,2017,Lightning,2017-C20352,25.90000000,20170624,20170626,20170616,Non-corrected ground GPS,JA70003000,0.00000000,1374034.00000000,259886.86100000,2886.60540000,676733.59375000,4658.42914244,21281,0,676733.59380000,4658.42914200,2017,June,14.50000000,33.60000000,2.20000000,48.99597938,9.00000000,4,48.99597938,13.95505014,12.51759481,13.51910589,0.00000000,13.23632247,6.759552945
212,N10382,2017062801.00000000,2017,Lightning,2017-N10382,34.20000000,20170628,20170630,20170608,Non-corrected ground GPS,JA70003000,0.00000000,1373849.00000000,342980.42420000,3067.07220000,819422.03125000,4741.59168680,21141,0,819422.03130000,4741.59168700,2017,June,14.00000000,29.50000000,0.40000000,21.24187192,29.20000000,6,21.24187192,15.20020606,15.02395326,35.43425686,27.06639241,15.11207966,31.250324635
213,G11494,2017090101.00000000,2017,Lightning,2017-G11494,53.00000000,20170901,20170915,20170801,Non-corrected airborne GPS,JA70003000,0.00000000,1373965.00000000,530284.47160000,2830.27560000,1508856.42968750,4776.16284343,21042,0,1508856.43000000,4776.16284300,2017,August,15.90000000,33.70000000,3.00000000,102.32069080,18.70000000,5,102.32069080,17.21170188,15.94796849,49.41226031,26.78787543,16.57983518,38.10006787
214,K41118,2017071601.00000000,2017,Person,2017-K41118,50.40000000,20170716,20170911,20170715,Non-corrected ground GPS,JA70003000,0.00000000,1373879.00000000,504710.12100000,3072.81100000,1221875.60937500,4780.00258795,21266,0,1221875.60900000,4780.00258800,2017,July,23.90000000,36.00000000,13.00000000,2.04619185,0.30000000,0,2.04619185,24.90000000,22.56524970,0.76812751,0.26874327,23.73262485,0.51843539
215,G10291,2017061601.00000000,2017,Lightning,2017-G10291,21.60000000,20170616,20170706,20170602,Non-corrected ground GPS,JA70003000,0.00000000,1373978.00000000,216475.36630000,2786.19620000,637273.66406250,4781.23133008,21097,0,637273.66410000,4781.23133000,2017,June,13.10000000,29.00000000,-1.40000000,83.05403727,37.00000000,7,83.05403727,13.95505014,12.51759481,70.79480453,48.95336276,13.23632247,59.874083645
216,G61952,2017092901.00000000,2017,Lightning,2017-G61952,41.70000000,20170929,20171215,20170829,Non-corrected airborne GPS,JA70003000,0.00000000,1373940.00000000,417354.95540000,2743.96980000,1330221.54687500,4896.38085142,21246,0,1330221.54700000,4896.38085100,2017,August,16.10000000,32.50000000,3.20000000,75.01539665,21.20000000,5,75.01539665,15.94796849,14.34168526,49.41226031,26.78787543,15.14482687,38.10006787
217,G61746,2017092901.00000000,2017,Lightning,2017-G61746,15.10000000,20170929,20171019,20170815,Non-corrected airborne GPS,JA70003000,0.00000000,1373942.00000000,151640.90130000,2677.06920000,509309.57812500,4906.21982422,21248,0,509309.57810000,4906.21982400,2017,August,12.70000000,28.00000000,1.00000000,187.55654220,15.00000000,1,187.55654220,15.94796849,14.34168526,49.41226031,26.78787543,15.14482687,38.10006787
218,G50839,2017072301.00000000,2017,Lightning,2017-G50839,39.90000000,20170723,20170723,20170707,Non-corrected airborne GPS,JA70003000,0.00000000,1373946.00000000,399173.58660000,2815.09630000,1247237.86718750,4976.54222972,21252,0,1247237.86700000,4976.54223000,2017,July,12.40000000,28.00000000,1.50000000,80.24125030,75.00000000,14,80.24125030,14.96469454,13.23475030,82.40747825,44.20290253,14.09972242,63.30519039
219,C41707,2017082801.00000000,2017,Lightning,2017-C41707,29.60000000,20170828,20170828,20170812,Non-corrected ground GPS,JA70003000,0.00000000,1373994.00000000,296883.41460000,3084.67790000,776015.21093750,4987.28685419,21152,0,776015.21090000,4987.28685400,2017,August,18.30000000,34.00000000,6.00000000,25.95968859,18.80000000,4,25.95968859,18.20593630,17.21170188,26.78787543,14.36677385,17.70881909,20.57732464
220,R40027,2017041801.00000000,2017,Person,2017-R40027,21.60000000,20170418,20170425,20170417,Non-corrected ground GPS,JA70003000,0.00000000,1373758.00000000,216013.73290000,2897.60440000,667982.10937500,5095.07618463,21467,0,667982.10940000,5095.07618500,2017,April,2.30000000,13.50000000,-13.00000000,26.60893366,60.00000000,5,26.60893366,6.14339035,4.38314936,33.41752529,20.32435988,5.26326985,26.870942585
221,K11144,2017080301.00000000,2017,Person,2017-K11144,31.00000000,20170803,20170806,20170716,Non-corrected ground GPS,JA70003000,0.00000000,1373907.00000000,310431.09800000,3270.94920000,804282.38281250,5265.10396220,21091,0,804282.38280000,5265.10396200,2017,July,19.70000000,37.00000000,4.00000000,41.69574425,15.00000000,1,41.69574425,19.55349511,18.60373169,23.64313695,12.57891354,19.0786134,18.111025245
222,N11347,2017072601.00000000,2017,Person,2017-N11347,38.90000000,20170726,20170726,20170725,Digitized from aerial photo,JA70003000,0.00000000,1373846.00000000,389976.87200000,3456.42370000,906380.12500000,5270.95495068,21125,0,906380.12500000,5270.95495100,2017,July,20.80000000,36.50000000,5.00000000,31.03724367,0.00000000,0,31.03724367,22.56524970,20.83530546,1.69609347,0.76812751,21.70027758,1.23211049
223,G11636,2017090101.00000000,2017,Lightning,2017-G11636,43.10000000,20170901,20170915,20170808,Non-corrected airborne GPS,JA70003000,0.00000000,1373963.00000000,431281.09440000,3122.93230000,1265022.17187500,5351.72824833,21027,0,1265022.17200000,5351.72824800,2017,August,15.90000000,33.70000000,3.00000000,83.80383278,18.70000000,5,83.80383278,17.21170188,15.94796849,26.78787543,14.36677385,16.57983518,20.57732464
224,C30885,2017081301.00000000,2017,Lightning,2017-C30885,46.70000000,20170813,20170813,20170707,Non-corrected airborne GPS,JA70003000,0.00000000,1374018.00000000,467253.73300000,3298.68200000,1255692.53125000,5408.42480649,21216,0,1255692.53100000,5408.42480600,2017,July,13.40000000,31.50000000,-3.00000000,29.65009426,2.40000000,1,29.65009426,16.24650489,14.96469454,12.57891354,6.62470948,15.60559971,9.60181151
225,C30897,2017071302.00000000,2017,Lightning,2017-C30897,48.30000000,20170713,20170816,20170707,Hand sketch of any type,JA70003000,0.00000000,1374014.00000000,483747.55860000,3312.67660000,1303501.64843750,5438.31754291,21212,0,1303501.64800000,5438.31754300,2017,July,13.40000000,31.50000000,-3.00000000,35.59419587,2.40000000,1,35.59419587,16.24650489,14.96469454,12.57891354,6.62470948,15.60559971,9.60181151
226,N22003,2017092401.00000000,2017,Person,2017-N22003,60.10000000,20170924,20170925,20170901,Non-corrected ground GPS,JA70003000,0.00000000,1373820.00000000,601648.11980000,3718.41080000,1475662.31250000,5823.50069918,21376,0,1475662.31300000,5823.50069900,2017,September,12.80000000,30.50000000,1.00000000,45.26407334,6.60000000,2,45.26407334,13.63779421,12.32500818,20.69538357,12.83078832,12.98140119,16.763085945
227,C11645,2017081101.00000000,2017,Lightning,2017-C11645,17.70000000,20170811,20171016,20170707,Non-corrected ground GPS,JA70003000,0.00000000,1374037.00000000,177185.83240000,3532.81820000,482917.55468750,5832.35039307,20993,0,482917.55470000,5832.35039300,2017,July,14.40000000,30.00000000,2.00000000,51.72178808,27.00000000,3,51.72178808,16.24650489,14.96469454,23.64313695,12.57891354,15.60559971,18.111025245
228,C20414,2017101601.00000000,2017,Person,2017-C20414,41.60000000,20171016,20171018,20170626,Non-corrected ground GPS,JA70003000,0.00000000,1374033.00000000,416699.60590000,3661.61830000,1098090.89062500,5944.71124013,21280,0,1098090.89100000,5944.71124000,2017,June,14.50000000,33.60000000,2.20000000,60.02117925,9.00000000,4,60.02117925,13.95505014,12.51759481,13.51910589,0.00000000,13.23632247,6.759552945
229,G10625,2017092601.00000000,2017,Lightning,2017-G10625,38.60000000,20170926,20170927,20170706,Non-corrected ground GPS,JA70003000,0.00000000,1373976.00000000,386274.85030000,3542.73890000,1088473.04687500,5946.20409196,21095,0,1088473.04700000,5946.20409200,2017,July,16.40000000,30.00000000,2.00000000,23.15611641,26.80000000,7,23.15611641,16.24650489,14.96469454,44.20290253,23.64313695,15.60559971,33.92301974
