OBJECTID_1,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID,AREA_SQM,FEAT_LEN,Shape__Area,Shape__Length,OBJECTID_1 1,SHAPE_1 1,Shape__Area 1,Shape__Length 1,Year,Month,Near AveTemp,Near MaxTemp,Near MinTemp,NearDist Temp,Near totalPrecip,Near HighPrecipDays,NearDist Precip,Interpolate Temp aveMax,Interpolate Temp aveMin,Interpolate Precip aveMax,Interpolate Precip aveMin,Interpolate AveTemp,Interpolate AvePrecip
124,C10093,2017051801.00000000,2017,Person,2017-C10093,5.50000000,20170518,20171013,20170507,Non-corrected ground GPS,JA70003000,0.00000000,1374052.00000000,55024.99940000,1082.37220000,148649.08593750,1778.76479333,21154,0,148649.08590000,1778.76479300,2017,May,9.20000000,27.50000000,-4.00000000,14.94391236,25.80000000,10,14.94391236,10.26234991,8.56259750,39.34947430,24.85845083,9.4124737,32.103962565
125,K21360,2017072801.00000000,2017,Lightning,2017-K21360,1.70000000,20170728,20171019,20170720,Non-corrected ground GPS,JA70003000,0.00000000,1373892.00000000,17767.92070000,1126.34850000,44564.16406250,1783.70559242,21024,0,44564.16406000,1783.70559200,2017,July,20.60000000,32.00000000,8.00000000,29.77682447,8.60000000,3,29.77682447,20.83530546,19.55349511,6.62470948,3.42045875,20.19440028,5.022584115
126,K41657,2017081001.00000000,2017,Person,2017-K41657,6.30000000,20170810,20170829,20170810,Non-corrected ground GPS,JA70003000,0.00000000,1373877.00000000,63095.14920000,1149.83200000,154915.17187500,1802.37500608,21245,0,154915.17190000,1802.37500600,2017,August,22.70000000,35.00000000,7.00000000,4.14147858,1.00000000,0,4.14147858,21.37998338,20.38574896,3.80349464,1.74802951,20.88286617,2.775762075
127,V92236,2017101101.00000000,2017,Person,2017-V92236,4.20000000,20171011,20171227,20171003,Hand sketch of any type,JA70003000,0.00000000,1373715.00000000,42742.46980000,1150.85860000,105070.28125000,1804.44144441,21536,0,105070.28130000,1804.44144400,2017,October,5.50000000,18.50000000,-6.50000000,15.28112856,27.00000000,5,15.28112856,9.77484337,9.21066211,353.41784130,237.51791710,9.49275274,295.4678792
128,G41558,2017080501.00000000,2017,Person,2017-G41558,7.30000000,20170805,20170805,20170805,Non-corrected airborne GPS,JA70003000,0.00000000,1373950.00000000,73662.57510000,1069.91510000,209859.39843750,1806.69319056,21270,0,209859.39840000,1806.69319100,2017,August,17.10000000,33.50000000,5.50000000,36.97194395,17.60000000,5,36.97194395,17.21170188,15.94796849,26.78787543,14.36677385,16.57983518,20.57732464
129,K70188,2017052801.00000000,2017,Person,2017-K70188,5.90000000,20170528,20171006,20170528,Non-corrected ground GPS,JA70003000,0.00000000,1373853.00000000,59671.64290000,1166.97190000,145800.67187500,1823.91570013,21157,0,145800.67190000,1823.91570000,2017,May,12.90000000,29.00000000,-2.50000000,46.60850014,44.40000000,10,46.60850014,16.30000000,15.06548385,24.85845083,0.00000000,15.68274192,12.429225415
130,N51702,2017081901.00000000,2017,Lightning,2017-N51702,4.60000000,20170819,20170820,20170812,Unknown,JA70003000,0.00000000,1373790.00000000,46205.22260000,1185.88810000,111154.00000000,1838.91254543,21315,0,111154.00000000,1838.91254500,2017,August,21.20000000,35.00000000,8.00000000,12.68382978,29.40000000,2,12.68382978,21.37998338,20.38574896,49.41226031,26.78787543,20.88286617,38.10006787
131,N41917,2017082901.00000000,2017,Lightning,2017-N41917,1.80000000,20170829,20170906,20170824,Non-corrected ground GPS,JA70003000,0.00000000,1373809.00000000,18436.42830000,1175.91170000,47941.67968750,1896.21776316,21350,0,47941.67969000,1896.21776300,2017,August,18.30000000,33.80000000,3.30000000,49.21029634,2.60000000,1,49.21029634,18.20593630,17.21170188,14.36677385,7.54741653,17.70881909,10.95709519
132,N12270,2017091701.00000000,2017,Person,2017-N12270,2.20000000,20170917,20171123,20171016,Hand sketch of any type,JA70003000,0.00000000,1373829.00000000,22536.81350000,1225.19450000,55308.40625000,1920.16084780,21385,0,55308.40625000,1920.16084800,2017,October,6.10000000,18.00000000,-2.50000000,6.23812412,194.80000000,17,6.23812412,4.95090054,3.07913266,63.80705876,50.94761922,4.0150166,57.37733899
133,R10615,2017070601.00000000,2017,Lightning,2017-R10615,2.30000000,20170706,20171004,20170705,Non-corrected ground GPS,JA70003000,0.00000000,1373763.00000000,23437.96560000,1134.39490000,67544.10937500,1925.93277231,21499,0,67544.10938000,1925.93277200,2017,July,12.00000000,22.00000000,4.50000000,42.48068454,0.00000000,0,42.48068454,14.96469454,13.23475030,23.64313695,12.57891354,14.09972242,18.111025245
